average	stdmin	stdplus
318.90400000000034	318.904	318.9040000000007
318.5519999999998	318.55199999999957	318.552
318.5190000000002	318.519	318.51900000000035
318.0400000000003	318.04	318.0400000000006
317.88700000000017	317.887	317.88700000000034
317.95299999999963	317.9529999999993	317.953
317.4930000000003	317.493	317.49300000000056
317.3230000000002	317.323	317.32300000000043
317.3950000000003	317.395	317.39500000000066
317.0280000000002	317.028	317.02800000000036
317.1020000000002	317.102	317.10200000000043
317.13099999999986	317.13099999999974	317.131
316.61900000000014	316.619	316.61900000000026
316.6100000000001	316.61	316.61000000000024
316.5949999999999	316.5949999999998	316.595
316.4599999999997	316.4599999999994	316.46
316.3610000000002	316.361	316.36100000000044
316.1640000000001	316.164	316.1640000000002
315.94299999999987	315.94299999999976	315.943
315.92900000000003	315.929	315.9290000000001
316.1530000000002	316.153	316.15300000000036
315.94700000000006	315.947	315.9470000000001
315.9570000000002	315.957	315.95700000000045
316.0769999999999	316.07699999999977	316.077
315.7610000000003	315.761	315.7610000000006
315.6949999999998	315.69499999999965	315.695
315.7170000000001	315.717	315.7170000000002
315.6139999999997	315.6139999999994	315.614
315.9030000000002	315.903	315.90300000000036
315.598	315.598	315.598
315.75400000000025	315.754	315.7540000000005
315.7759999999999	315.7759999999998	315.776
315.82099999999997	315.8209999999999	315.821
315.98699999999974	315.98699999999945	315.987
316.13800000000026	316.138	316.13800000000055
315.9580000000001	315.958	315.95800000000014
316.11299999999983	316.11299999999966	316.113
316.30299999999994	316.3029999999999	316.303
316.1010000000001	316.101	316.1010000000002
316.24699999999984	316.2469999999997	316.247
316.4699999999999	316.4699999999998	316.47
316.53399999999976	316.53399999999954	316.534
316.59100000000024	316.591	316.59100000000046
316.94100000000014	316.941	316.9410000000003
317.0110000000003	317.011	317.0110000000006
317.1769999999998	317.17699999999957	317.177
317.2780000000002	317.278	317.27800000000036
317.2710000000002	317.271	317.27100000000036
317.72099999999966	317.7209999999993	317.721
317.7330000000001	317.733	317.73300000000023
317.73999999999984	317.73999999999967	317.74
318.0519999999998	318.05199999999957	318.052
318.2350000000001	318.235	318.23500000000024
318.29999999999984	318.29999999999967	318.3
318.616	318.616	318.616
318.848	318.848	318.848
318.92900000000003	318.929	318.9290000000001
319.1479999999998	319.14799999999957	319.148
319.43699999999995	319.4369999999999	319.437
319.3639999999997	319.3639999999994	319.364
319.6650000000003	319.665	319.6650000000006
319.848	319.848	319.848
320.0229999999998	320.02299999999957	320.023
320.38299999999987	320.38299999999975	320.383
320.42100000000016	320.421	320.42100000000033
320.7219999999998	320.72199999999964	320.722
320.8510000000001	320.851	320.8510000000002
321.12900000000025	321.129	321.1290000000005
321.2729999999998	321.27299999999957	321.273
321.5489999999997	321.5489999999994	321.549
321.74899999999985	321.7489999999997	321.749
321.8230000000002	321.823	321.82300000000043
322.11900000000014	322.119	322.11900000000026
322.3169999999997	322.31699999999944	322.317
322.6509999999999	322.6509999999998	322.651
322.56799999999987	322.56799999999976	322.568
322.91200000000015	322.912	322.9120000000003
323.2350000000001	323.235	323.23500000000024
323.3940000000002	323.394	323.39400000000035
323.3320000000002	323.332	323.33200000000045
323.74899999999985	323.7489999999997	323.749
323.7939999999999	323.79399999999987	323.794
324.06500000000005	324.065	324.0650000000001
324.34100000000024	324.341	324.34100000000046
324.5439999999999	324.54399999999987	324.544
324.32799999999963	324.3279999999993	324.328
324.7919999999999	324.79199999999986	324.792
325.17799999999994	325.1779999999999	325.178
325.01200000000017	325.012	325.01200000000034
325.3260000000003	325.326	325.3260000000006
325.5820000000002	325.582	325.58200000000045
325.57200000000006	325.572	325.5720000000001
325.6890000000002	325.689	325.68900000000036
325.66300000000035	325.663	325.6630000000007
325.83699999999965	325.8369999999993	325.837
325.9599999999997	325.9599999999994	325.96
325.9269999999998	325.92699999999957	325.927
325.91300000000035	325.913	325.9130000000007
326.25799999999987	326.25799999999975	326.258
326.384	326.384	326.384
326.0139999999998	326.01399999999956	326.014
326.3770000000003	326.377	326.3770000000006
326.4770000000002	326.477	326.47700000000043
326.3510000000001	326.351	326.3510000000002
326.2989999999997	326.2989999999994	326.299
326.54600000000016	326.546	326.54600000000033
326.4030000000002	326.403	326.40300000000036
326.39999999999975	326.3999999999995	326.4
326.4680000000002	326.468	326.46800000000036
326.3430000000002	326.343	326.34300000000036
326.52900000000034	326.529	326.5290000000007
326.5239999999999	326.5239999999998	326.524
326.223	326.223	326.223
326.30299999999994	326.3029999999999	326.303
326.2270000000002	326.227	326.22700000000043
326.05899999999986	326.0589999999997	326.059
326.1479999999998	326.14799999999957	326.148
326.018	326.018	326.018
325.8559999999998	325.85599999999965	325.856
325.8549999999997	325.85499999999934	325.855
326.13800000000026	326.138	326.13800000000055
325.69700000000006	325.697	325.6970000000001
325.71199999999965	325.7119999999993	325.712
325.76000000000016	325.76	325.76000000000033
325.643	325.643	325.643
325.59599999999966	325.5959999999993	325.596
325.26599999999974	325.26599999999945	325.266
325.3359999999999	325.3359999999998	325.336
325.28700000000015	325.287	325.2870000000003
324.9809999999998	324.98099999999965	324.981
325.161	325.161	325.161
324.96299999999985	324.9629999999997	324.963
324.9099999999999	324.9099999999998	324.91
324.72099999999966	324.7209999999993	324.721
324.857	324.857	324.857
324.527	324.527	324.527
324.4359999999998	324.43599999999964	324.436
324.2330000000001	324.233	324.23300000000023
324.2700000000003	324.27	324.27000000000066
324.2729999999998	324.27299999999957	324.273
323.7939999999999	323.79399999999987	323.794
323.7819999999998	323.78199999999964	323.782
323.7989999999997	323.7989999999994	323.799
323.634	323.634	323.634
323.1919999999997	323.19199999999944	323.192
323.19599999999997	323.1959999999999	323.196
323.05400000000003	323.054	323.0540000000001
322.93800000000005	322.938	322.9380000000001
322.545	322.545	322.545
322.4599999999997	322.4599999999994	322.46
322.2690000000002	322.269	322.26900000000035
322.0429999999998	322.04299999999955	322.043
