Average	Stdev min	Stdev plus
45.8	40.15553368333196	51.444466316668034
46.3	40.695537492319175	51.90446250768082
47.15	41.79953273068604	52.50046726931396
47.75	42.210370048459914	53.289629951540086
48.45	42.93207466523876	53.96792533476125
49.05	43.46900546497311	54.630994535026886
49.35	43.68188743936749	55.01811256063251
49.95	44.227456859052964	55.67254314094704
50.4	44.5827841711004	56.2172158288996
51.2	45.15351341686761	57.246486583132395
51.4	45.281176583688655	57.51882341631134
52.0	46.01668987933937	57.98331012066063
52.45	46.4211112134988	58.47888878650121
52.75	46.635468129120596	58.864531870879404
53.2	47.08771728402555	59.312282715974455
53.8	47.687717284025545	59.91228271597445
54.35	48.19959350936867	60.500406490631335
55.3	48.89609494136585	61.70390505863414
56.1	49.51289137785022	62.687108622149786
56.7	49.98360215591721	63.416397844082795
57.45	50.919494659676026	63.98050534032398
57.8	51.184865836583505	64.41513416341648
58.35	51.677107074139435	65.02289292586056
58.85	52.13974665157865	65.56025334842136
59.55	52.72742717151367	66.37257282848633
60.15	53.469618274379826	66.83038172562017
60.6	53.807356920903324	67.39264307909669
61.05	54.31594475817134	67.78405524182865
61.5	54.53221699534206	68.46778300465793
61.8	55.102239180143854	68.49776081985614
62.65	55.73425708979867	69.56574291020134
63.05	56.31594475817134	69.78405524182865
63.6	56.734142442491255	70.46585755750876
64.2	57.24586453971452	71.15413546028549
64.7	57.663665727099094	71.73633427290092
65.2	57.97781196589289	72.42218803410712
65.95	58.65976680757056	73.24023319242944
66.35	59.04058825896365	73.65941174103634
66.8	59.51577045941027	74.08422954058972
67.45	60.31925670073589	74.58074329926411
68.3	61.04672487768456	75.55327512231543
68.9	61.661906328320974	76.13809367167903
69.15	61.91622505188336	76.38377494811665
69.85	62.554282077821256	77.14571792217873
70.4	62.92069521947394	77.87930478052607
71.0	63.27342249116725	78.72657750883275
71.7	64.0247149890053	79.3752850109947
72.25	64.55665872328544	79.94334127671456
72.6	64.69810149394463	80.50189850605535
73.15	65.15453253399153	81.14546746600848
73.65	65.51197198333651	81.7880280166635
74.15	65.95686262778416	82.34313737221585
74.65	66.66704941766518	82.63295058233483
75.15	67.20471838132846	83.09528161867155
75.9	67.66653171500613	84.13346828499388
76.45	68.07458956229607	84.82541043770394
77.1	68.85439511012078	85.34560488987921
77.75	69.46824294005191	86.03175705994809
78.4	70.03698618917798	86.76301381082203
78.75	70.34836325469853	87.15163674530147
79.3	70.65650533638158	87.94349466361841
79.75	70.84564713187983	88.65435286812017
80.3	71.6333974361345	88.9666025638655
80.75	71.94162330505785	89.55837669494215
81.4	72.50393345348633	90.29606654651369
82.15	73.47662118894834	90.82337881105167
82.6	73.74336406980619	91.4566359301938
83.05	74.1985876833129	91.9014123166871
83.65	74.61520614512983	92.68479385487018
84.1	74.94631221856457	93.25368778143542
84.3	75.0961964384283	93.5038035615717
84.95	75.7659104969518	94.1340895030482
85.6	76.2597644569315	94.94023554306848
86.25	76.83790671529441	95.66209328470559
87.05	77.52910193311575	96.57089806688424
87.55	77.9715084694927	97.12849153050729
87.95	78.16493484947597	97.73506515052404
88.55	79.05013157985859	98.04986842014141
89.2	80.05888409437885	98.34111590562115
89.65	80.4398154198735	98.86018458012651
90.35	81.12896426641778	99.5710357335822
90.7	81.47449188391231	99.9255081160877
91.35	82.1018920854047	100.59810791459529
92.05	82.67730028220257	101.42269971779743
92.7	83.14960733791537	102.25039266208464
93.4	83.67683179205461	103.1231682079454
94.1	84.01585402723661	104.18414597276337
94.55	84.67844996973626	104.42155003026373
94.9	84.88551049728446	104.91448950271555
95.25	85.11158296379558	105.38841703620442
95.6	85.89742302272225	105.30257697727774
96.3	86.532195743157	106.06780425684299
96.8	86.90757865838701	106.69242134161298
97.15	87.3149860193287	106.98501398067131
97.75	87.97822943372083	107.52177056627917
98.25	88.37136142983255	108.12863857016745
99.05	89.01269458470053	109.08730541529947
99.95	89.76434832718103	110.13565167281898
100.55	90.1026319103805	110.9973680896195
101.2	90.5294798627246	111.8705201372754
101.8	91.24253818382468	112.35746181617532
102.25	91.50814261870882	112.99185738129118
102.6	91.79074470650266	113.40925529349732
103.3	92.55709536484662	114.04290463515338
